Antecedents,Consequent,Support,Confidence,Lift,Leverage,Conviction,Minimum Support,Enriched Sample Rows,Fraud Rows,Legitimate Rows
Time_Afternoon AND V12_Low AND V16_Low AND V17_Low,Class_Fraud,0.033950617283950615,0.8555555555555555,5.133333333333334,0.027336860670194002,5.769230769230767,0.03,2268,378,1890
Time_Morning AND V10_Low AND V14_Low AND V16_Low,Class_Fraud,0.036155202821869487,0.8541666666666666,5.125,0.0291005291005291,5.7142857142857135,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V3_Low,Class_Fraud,0.07936507936507936,0.8530805687203792,5.118483412322275,0.06385949441504997,5.67204301075269,0.03,2268,378,1890
V10_Low AND V12_Low AND V3_Low,Class_Fraud,0.13977072310405644,0.8521505376344087,5.112903225806453,0.11243386243386244,5.636363636363642,0.03,2268,378,1890
Time_Night AND V14_Low,Class_Fraud,0.037037037037037035,0.8484848484848485,5.090909090909092,0.02976190476190476,5.500000000000001,0.03,2268,378,1890
Amount_Low AND V12_Low AND V16_Low AND V3_Low,Class_Fraud,0.07142857142857142,0.8481675392670157,5.0890052356020945,0.05739271017048794,5.488505747126437,0.03,2268,378,1890
Time_Morning AND V10_Low AND V14_Low AND V17_Low,Class_Fraud,0.03439153439153439,0.8478260869565217,5.086956521739131,0.027630805408583186,5.476190476190476,0.03,2268,378,1890
Amount_Low AND V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.06746031746031746,0.8453038674033149,5.071823204419889,0.054159318048206936,5.38690476190476,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V14_Low AND V16_Low,Class_Fraud,0.040123456790123455,0.8425925925925926,5.055555555555555,0.03218694885361552,5.2941176470588225,0.03,2268,378,1890
V16_Low AND V17_Low AND V3_Low,Class_Fraud,0.1283068783068783,0.8386167146974064,5.031700288184439,0.1028071722516167,5.163690476190478,0.03,2268,378,1890
V10_Low AND V12_Low AND V16_Low,Class_Fraud,0.13095238095238096,0.8366197183098592,5.019718309859155,0.10486478542034099,5.100574712643678,0.03,2268,378,1890
Time_Morning AND V10_Low AND V12_Low AND V3_Low,Class_Fraud,0.03791887125220458,0.8349514563106796,5.009708737864078,0.030349794238683128,5.049019607843136,0.03,2268,378,1890
Amount_Low AND V12_Low AND V14_Low AND V3_Low,Class_Fraud,0.08068783068783068,0.8318181818181818,4.990909090909091,0.06452087007642562,4.954954954954954,0.03,2268,378,1890
Time_Afternoon AND V12_Low AND V14_Low AND V16_Low,Class_Fraud,0.03439153439153439,0.8297872340425532,4.9787234042553195,0.027483833039388596,4.895833333333333,0.03,2268,378,1890
Time_Morning AND V12_Low AND V16_Low AND V3_Low,Class_Fraud,0.03791887125220458,0.8269230769230769,4.961538461538462,0.03027630805408583,4.814814814814814,0.03,2268,378,1890
